car_model,year_of_manufacture,price,fuel,year_of_selling
ritz,2014,5000.0,Petrol,2015-09-30
sx4,2013,7089.55,Diesel,2013-05-15
ciaz,2017,10820.9,Petrol,2020-10-03
wagon r,2011,4253.73,Petrol,2013-12-30
swift,2014,6865.67,Diesel,2017-06-12
vitara brezza,2018,13805.97,Diesel,2019-01-05
ciaz,2030,11194.03,Petrol,2015-05-09
ciaz,2015,10074.63,Petrol,2017-11-15
s cross,2015,9701.49,Diesel,2015-06-30
ciaz,2016,13059.7,Diesel,2016-10-13
ciaz,2015,11119.4,Diesel,2015-05-09
alto 800,2017,4253.73,Petrol,2013-05-15
ciaz,2015,10223.88,Diesel,2017-11-15
ciaz,2015,11194.03,Petrol,2015-05-09
wagon r,2045,4328.36,Petrol,2017-11-15
ertiga,2015,9104.48,Petrol,2015-09-30
dzire,2009,3358.21,Petrol,2017-06-12
ertiga,2016,11567.16,Diesel,2013-12-30
ertiga,2015,10820.9,Diesel,2017-11-15
ertiga,2016,11567.16,Diesel,2017-06-12
wagon r,2015,4850.75,CNG,2015-06-30
sx4,2010,3955.22,Petrol,2015-05-09
alto k10,2016,4253.73,Petrol,2019-01-05
ertiga,2024,11567.16,Diesel,2017-06-12
ignis,2017,7313.43,Petrol,2020-10-03
sx4,2011,6567.16,Petrol,2015-05-09
alto k10,2014,3731.34,Petrol,2013-05-15
wagon r,2013,4328.36,Petrol,2017-11-15
swift,2011,4477.61,Petrol,2017-06-12
wagon r,2070,4253.73,Petrol,2013-12-30
swift,2013,6194.03,Petrol,2013-05-15
swift,2017,8955.22,Petrol,2020-10-03
alto k10,2010,2910.45,Petrol,2015-05-09
ciaz,2015,11119.4,Diesel,2017-06-12
ritz,2012,4626.87,Diesel,2017-11-15
ritz,2011,3507.46,Petrol,2020-10-03
swift,2014,7388.06,Diesel,2017-06-12
ertiga,2014,8955.22,Diesel,2020-10-03
dzire,2014,8208.96,Diesel,2015-09-30
sx4,2011,4402.99,CNG,2015-06-30
dzire,2015,6940.3,Petrol,2017-11-15
800,2003,522.39,Petrol,2017-06-12
alto k10,2016,4477.61,Petrol,2015-09-30
sx4,2003,3358.21,Petrol,2015-06-30